username,acctdesc,location,following,totaltweets,usercreatedts,tweetcreatedts,retweetcount,followers,text,hashtags
jagankri4,"Menjaga Indonesia Tanpa Pamrih 🇲🇨🇲🇨
#ProNKRI #GarudaNusantara #MutualMilenial #Programfolback #NKRI🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨","Kota Palu, Sulawesi Tengah",592,604,10/17/2019 2:19,12/20/2020 2:45,0,"Pemerintah mengakomodasi vaksin gratis demi percepatan penanganan Covid-19
#BersatuLawanCovid19 #vaksin https://t.co/KI9QX7qDa8","[{'text': 'BersatuLawanCovid19', 'indices': [75, 95]}, {'text': 'vaksin', 'indices': [96, 103]}]",415
JapenSarawak,"Informasi, Berita & Aktiviti Terkini / Information, News & Latest Activies","Kuching, Sarawak",633,43223,7/19/2012 3:13,12/20/2020 2:44,4,"@JPenerangan RT @JPenerangan: Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan
#sodiakroks  https://t.co/10SOzB5p7K","[{'text': 'KomunikasiKita', 'indices': [78, 93]}, {'text': 'VaksinCOVID19', 'indices': [94, 108]}, {'text': 'JabatanPenerangan', 'indices': [110, 128]}, {'text': 'sodiakroks', 'indices': [129, 140]}]",9744
Yuih1022,hidup mesti ceria,,12,1077,10/21/2020 1:56,12/20/2020 2:44,55,"COVID-19 boleh dicegah menggunakan vaksin. 

Beginilah cara vaksin berfungsi dalam badan kita!

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/wlLG5ERx2o","[{'text': 'KomunikasiKita', 'indices': [113, 128]}]",5
Yuih1022,hidup mesti ceria,,12,1077,10/21/2020 1:56,12/20/2020 2:43,38,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/2f18p5aqmJ","[{'text': 'KomunikasiKita', 'indices': [65, 80]}, {'text': 'VaksinCOVID19', 'indices': [81, 95]}, {'text': 'JabatanPenerangan', 'indices': [97, 115]}]",5
Kejora2015,,,293,17685,10/28/2014 1:57,12/20/2020 2:39,70,"Jangan hentikan imunisasi kerana penyakit boleh meningkat kembali. 

Sayangi kesihatan kita!

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/VbLmW1fgOc","[{'text': 'KomunikasiKita', 'indices': [111, 126]}]",274
DrNovandri,"Doctor, Activist & Writer : Society & Politics",Malaysia 🇲🇾,203,30594,3/2/2010 15:15,12/20/2020 2:34,32,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 https://t.co/1mUFNW7O4K","[{'text': 'KomunikasiKita', 'indices': [62, 77]}, {'text': 'VaksinCOVID19', 'indices': [78, 92]}]",19291
jagankri4,"Menjaga Indonesia Tanpa Pamrih 🇲🇨🇲🇨
#ProNKRI #GarudaNusantara #MutualMilenial #Programfolback #NKRI🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨","Kota Palu, Sulawesi Tengah",592,604,10/17/2019 2:19,12/20/2020 2:34,0,"Masyarakat Optimis Hadapi Pandemi Covid-19
#covid19 #vaksin https://t.co/V8zrlTHwod","[{'text': 'covid19', 'indices': [43, 51]}, {'text': 'vaksin', 'indices': [52, 59]}]",415
Mariatungkat2,,,241,2660,8/10/2020 1:21,12/20/2020 2:32,38,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/2f18p5aqmJ","[{'text': 'KomunikasiKita', 'indices': [65, 80]}, {'text': 'VaksinCOVID19', 'indices': [81, 95]}, {'text': 'JabatanPenerangan', 'indices': [97, 115]}]",80
indozonemedia,INDOZONE - #KAMUHARUSTAU  The Most Engaging Media for Millennials and Gen Z,Indonesia,0,41758,8/8/2011 4:03,12/20/2020 2:31,0,"Berani tolak pemberian vaksin Covid-19? Siap-siap didenda Rp5 juta, meskipun Menkes Terawan sendiri belum bisa memastikan efektivitasnya. Simak ulasannya yang #KAMUHARUSTAU #vaksincorona #vaksincovid19 #denda 

https://t.co/iBzCLr2jvW","[{'text': 'KAMUHARUSTAU', 'indices': [159, 172]}, {'text': 'vaksincorona', 'indices': [173, 186]}, {'text': 'vaksincovid19', 'indices': [187, 201]}, {'text': 'denda', 'indices': [202, 208]}]",1784297
anandaRaya4,,,389,2845,10/31/2017 22:54,12/20/2020 2:30,0,"Bersiap sambut aktivitas normalisasi

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/Sl5pPpI55p","[{'text': 'Vaksin', 'indices': [38, 45]}, {'text': 'Pandemi', 'indices': [46, 54]}, {'text': 'Indonesia', 'indices': [56, 66]}, {'text': 'Virus', 'indices': [68, 74]}, {'text': 'IndonesiaKuat', 'indices': [75, 89]}]",313
anandaRaya4,,,389,2845,10/31/2017 22:54,12/20/2020 2:29,0,"Terimakasih pakde

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/1RIBQMYRd5","[{'text': 'Vaksin', 'indices': [19, 26]}, {'text': 'Pandemi', 'indices': [27, 35]}, {'text': 'Indonesia', 'indices': [37, 47]}, {'text': 'Virus', 'indices': [49, 55]}, {'text': 'IndonesiaKuat', 'indices': [56, 70]}]",313
anandaRaya4,,,389,2845,10/31/2017 22:54,12/20/2020 2:29,0,"Optimis ekonomi bisa kembali pulih

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/rsSXg4eb86","[{'text': 'Vaksin', 'indices': [36, 43]}, {'text': 'Pandemi', 'indices': [44, 52]}, {'text': 'Indonesia', 'indices': [54, 64]}, {'text': 'Virus', 'indices': [66, 72]}, {'text': 'IndonesiaKuat', 'indices': [73, 87]}]",313
anandaRaya4,,,389,2845,10/31/2017 22:54,12/20/2020 2:29,0,"Comba mantap

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/7X2g6gYxw9","[{'text': 'Vaksin', 'indices': [14, 21]}, {'text': 'Pandemi', 'indices': [22, 30]}, {'text': 'Indonesia', 'indices': [32, 42]}, {'text': 'Virus', 'indices': [44, 50]}, {'text': 'IndonesiaKuat', 'indices': [51, 65]}]",313
anandaRaya4,,,389,2845,10/31/2017 22:54,12/20/2020 2:29,0,"Mantap pak de. Terimakasih

#Vaksin
#Pandemi 
#Indonesia 
#Virus
#IndonesiaKuat https://t.co/igv0BAVL2K","[{'text': 'Vaksin', 'indices': [28, 35]}, {'text': 'Pandemi', 'indices': [36, 44]}, {'text': 'Indonesia', 'indices': [46, 56]}, {'text': 'Virus', 'indices': [58, 64]}, {'text': 'IndonesiaKuat', 'indices': [65, 79]}]",313
Andespen1,Mencoba dan terus mencoba,,519,11299,1/8/2020 0:55,12/20/2020 2:27,3,"Top News Koran Rakyat Merdeka

Vaksinasi Menyangkut Hidup Mati Orang Banyak 
Muhadjir Jamin BPOM Nggak Bakal Main-main

@kemenkopmk @muhadjir_ef #vaksin #BPOM #Corona #coronavirus #COVID19 #COVIDー19 #COVID__19 #Covid_19 #COVID #RakyatMerdeka #RMCoid 

https://t.co/wBoDwwqghE",[],412
Andespen1,Mencoba dan terus mencoba,,519,11299,1/8/2020 0:55,12/20/2020 2:27,3,"Top News Koran Rakyat Merdeka

Jelang Program Vaksinasi Covid-19
Netizen Dukung Pemerintah Siapkan Nakes Dan Vaksinator

#Vaksin #Corona #coronavirus #COVID19 #COVIDー19 #COVID__19 #Covid_19 #COVID #RakyatMerdeka #RMCoid

https://t.co/wVsnyUUrf3",[],412
Andespen1,Mencoba dan terus mencoba,,519,11299,1/8/2020 0:55,12/20/2020 2:27,3,"Top News Koran Rakyat Merdeka

7 Persen Rakyat Tolak Vaksin Corona, Pak Luhut, Gimana Ini?

#vaksin #sinovac #luhut #Corona #coronavirus #COVID19 #COVIDー19 #COVID__19 #Covid_19 #COVID #RakyatMerdeka #RMCoid 
 https://t.co/LVKObwpVFK","[{'text': 'vaksin', 'indices': [113, 120]}, {'text': 'sinovac', 'indices': [121, 129]}, {'text': 'luhut', 'indices': [130, 136]}]",412
Kejora2015,,,293,17685,10/28/2014 1:57,12/20/2020 2:26,38,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/2f18p5aqmJ","[{'text': 'KomunikasiKita', 'indices': [65, 80]}, {'text': 'VaksinCOVID19', 'indices': [81, 95]}, {'text': 'JabatanPenerangan', 'indices': [97, 115]}]",274
EkonomiTerkini,,,37,10261,11/6/2019 8:12,12/20/2020 2:25,3,"Top News Koran Rakyat Merdeka

Wapres AS Divaksin Duluan 
Trump Merasa Kebal

#MikePence #DonaldTrump #JoeBiden #Amerika #USA #Vaksin 
#Corona #coronavirus #COVID19 #COVIDー19 #COVID__19 #Covid_19 #COVID #RakyatMerdeka #RMCoid 

https://t.co/BGscv5WYdv","[{'text': 'MikePence', 'indices': [99, 109]}, {'text': 'DonaldTrump', 'indices': [110, 122]}, {'text': 'JoeBiden', 'indices': [123, 132]}]",52
EkonomiTerkini,,,37,10261,11/6/2019 8:12,12/20/2020 2:24,3,"Top News Koran Rakyat Merdeka

Vaksinasi Menyangkut Hidup Mati Orang Banyak 
Muhadjir Jamin BPOM Nggak Bakal Main-main

@kemenkopmk @muhadjir_ef #vaksin #BPOM #Corona #coronavirus #COVID19 #COVIDー19 #COVID__19 #Covid_19 #COVID #RakyatMerdeka #RMCoid 

https://t.co/wBoDwwqghE",[],52
EkonomiTerkini,,,37,10261,11/6/2019 8:12,12/20/2020 2:24,3,"Top News Koran Rakyat Merdeka

Jelang Program Vaksinasi Covid-19
Netizen Dukung Pemerintah Siapkan Nakes Dan Vaksinator

#Vaksin #Corona #coronavirus #COVID19 #COVIDー19 #COVID__19 #Covid_19 #COVID #RakyatMerdeka #RMCoid

https://t.co/wVsnyUUrf3",[],52
EkonomiTerkini,,,37,10261,11/6/2019 8:12,12/20/2020 2:24,3,"Top News Koran Rakyat Merdeka

7 Persen Rakyat Tolak Vaksin Corona, Pak Luhut, Gimana Ini?

#vaksin #sinovac #luhut #Corona #coronavirus #COVID19 #COVIDー19 #COVID__19 #Covid_19 #COVID #RakyatMerdeka #RMCoid 
 https://t.co/LVKObwpVFK","[{'text': 'vaksin', 'indices': [113, 120]}, {'text': 'sinovac', 'indices': [121, 129]}, {'text': 'luhut', 'indices': [130, 136]}]",52
Kejora2015,,,293,17685,10/28/2014 1:57,12/20/2020 2:23,4,"Jangan hentikan imunisasi kerana penyakit boleh meningkat kembali. 

Sayangi kesihatan kita!

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan 
#PerlisMaju https://t.co/EvnHo5XfnR","[{'text': 'KomunikasiKita', 'indices': [111, 126]}]",274
pmrkeningau,,keningau,239,13109,3/9/2017 0:32,12/20/2020 2:19,55,"COVID-19 boleh dicegah menggunakan vaksin. 

Beginilah cara vaksin berfungsi dalam badan kita!

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/wlLG5ERx2o","[{'text': 'KomunikasiKita', 'indices': [113, 128]}]",362
putriat24,اَللّهُ,"Kalimantan Timur, Indonesia",66,12146,6/12/2010 3:08,12/20/2020 2:18,59,"Bisa #KembaliBertemu orang tua yang terkasih dan dirindukan memang menjadi hal yang tak ternilai bagi para tenaga kesehatan. Makanya kita sama-sama dukung mereka dengan terus menaati protokol 3M. 
#VaksinUntukKita https://t.co/Lij4qGKILa","[{'text': 'KembaliBertemu', 'indices': [26, 41]}]",419
RakyatMerdeka99,Official Twitter of Rakyat Merdeka | The Political Newsleader | Web: https://t.co/0ulMBMELYr| FB: Rakyat Merdeka | IG @rakyatmerdeka1999 | https://t.co/wLwCDX4qmy,"Graha Pena, Kebayoran Lama 12",201,35676,3/22/2016 13:54,12/20/2020 2:17,3,"Top News Koran Rakyat Merdeka

Wapres AS Divaksin Duluan 
Trump Merasa Kebal

#MikePence #DonaldTrump #JoeBiden #Amerika #USA #Vaksin 
#Corona #coronavirus #COVID19 #COVIDー19 #COVID__19 #Covid_19 #COVID #RakyatMerdeka #RMCoid 

https://t.co/BGscv5WYdv","[{'text': 'MikePence', 'indices': [78, 88]}, {'text': 'DonaldTrump', 'indices': [89, 101]}, {'text': 'JoeBiden', 'indices': [102, 111]}, {'text': 'Amerika', 'indices': [112, 120]}, {'text': 'USA', 'indices': [121, 125]}, {'text': 'Vaksin', 'indices': [126, 133]}, {'text': 'Corona', 'indices': [135, 142]}, {'text': 'coronavirus', 'indices': [143, 155]}, {'text': 'COVID19', 'indices': [156, 164]}, {'text': 'COVIDー19', 'indices': [165, 174]}, {'text': 'COVID__19', 'indices': [175, 185]}, {'text': 'Covid_19', 'indices': [186, 195]}, {'text': 'COVID', 'indices': [196, 202]}, {'text': 'RakyatMerdeka', 'indices': [203, 217]}, {'text': 'RMCoid', 'indices': [218, 225]}]",1566
AbdulMu36228811,"Pecinta damai yang pro NKRI 🇲🇨🇲🇨
#GarudaNusantara #Programfolback #ProNKRI #MutualMilenial 🇲🇨🇲🇨","Morowali, Sulawesi Tengah",1089,542,10/12/2019 14:29,12/20/2020 2:15,0,"Presiden Jokowi bersedia di vaksin pertama kali
#BersatuLawanCovid19 #vaksin https://t.co/7aDxNpWfyj","[{'text': 'BersatuLawanCovid19', 'indices': [48, 68]}, {'text': 'vaksin', 'indices': [69, 76]}]",643
Jobrik2,"tanpa ada rasa curiga
Inilah hidup (wani urep)",Sragen (jateng),10058,71351,2/15/2020 6:20,12/20/2020 2:13,1,Presiden Jokowi siap divaksin pertama kali. #BersatuLawanCovid19 #vaksin #Covid https://t.co/AxvRelmH3i,"[{'text': 'BersatuLawanCovid19', 'indices': [59, 79]}, {'text': 'vaksin', 'indices': [80, 87]}, {'text': 'Covid', 'indices': [88, 94]}]",10233
jagankri4,"Menjaga Indonesia Tanpa Pamrih 🇲🇨🇲🇨
#ProNKRI #GarudaNusantara #MutualMilenial #Programfolback #NKRI🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨","Kota Palu, Sulawesi Tengah",592,604,10/17/2019 2:19,12/20/2020 2:12,1,Presiden Jokowi siap divaksin pertama kali. #BersatuLawanCovid19 #vaksin #Covid https://t.co/AxvRelmH3i,"[{'text': 'BersatuLawanCovid19', 'indices': [44, 64]}, {'text': 'vaksin', 'indices': [65, 72]}, {'text': 'Covid', 'indices': [73, 79]}]",415
mynicberhad,get the coolest web address in the world - .my,Kuala Lumpur,200,4321,6/15/2013 14:01,12/20/2020 2:04,32,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 https://t.co/1mUFNW7O4K","[{'text': 'KomunikasiKita', 'indices': [62, 77]}, {'text': 'VaksinCOVID19', 'indices': [78, 92]}]",872
RedRossySmile,,,286,9254,7/1/2018 7:52,12/20/2020 2:02,32,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 https://t.co/1mUFNW7O4K","[{'text': 'KomunikasiKita', 'indices': [62, 77]}, {'text': 'VaksinCOVID19', 'indices': [78, 92]}]",234
RedRossySmile,,,286,9254,7/1/2018 7:52,12/20/2020 2:01,38,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/2f18p5aqmJ","[{'text': 'KomunikasiKita', 'indices': [65, 80]}, {'text': 'VaksinCOVID19', 'indices': [81, 95]}, {'text': 'JabatanPenerangan', 'indices': [97, 115]}]",234
timescoid,"Media Online Berjaringan No. 1 Indonesia | Berita Positif Indonesia #cekfakta⁣
⁣
𝐄𝐦𝐚𝐢𝐥 : 𝗿𝗲𝗱𝗮𝗸𝘀𝗶@𝘁𝗶𝗺𝗲𝘀𝗶𝗻𝗱𝗼𝗻𝗲𝘀𝗶𝗮.𝗰𝗼.𝗶𝗱",Wisma Mas Isman Jakarta,239,42727,10/18/2018 5:46,12/20/2020 2:00,0,"Tarif Tes Rapid, Antibodi, Antigen dan Swab PCR.
#Covid_19 #COVIDIOT #COVID19Vic #VaksinUntukKita #Vaksin #vaksincovid19 #ketahananinformasi #timesindonesia https://t.co/Wqp0cK0Pse","[{'text': 'Covid_19', 'indices': [49, 58]}, {'text': 'COVIDIOT', 'indices': [59, 68]}, {'text': 'COVID19Vic', 'indices': [69, 80]}, {'text': 'VaksinUntukKita', 'indices': [81, 97]}, {'text': 'Vaksin', 'indices': [98, 105]}, {'text': 'vaksincovid19', 'indices': [106, 120]}, {'text': 'ketahananinformasi', 'indices': [121, 140]}, {'text': 'timesindonesia', 'indices': [141, 156]}]",1107
IzaniIman,,,173,5758,2/6/2017 3:20,12/20/2020 1:54,32,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 https://t.co/1mUFNW7O4K","[{'text': 'KomunikasiKita', 'indices': [62, 77]}, {'text': 'VaksinCOVID19', 'indices': [78, 92]}]",24
healogix,Books are better than people,Malaysia,284,19868,9/3/2009 0:53,12/20/2020 1:52,32,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 https://t.co/1mUFNW7O4K","[{'text': 'KomunikasiKita', 'indices': [62, 77]}, {'text': 'VaksinCOVID19', 'indices': [78, 92]}]",161
IzaniIman,,,173,5758,2/6/2017 3:20,12/20/2020 1:49,70,"Jangan hentikan imunisasi kerana penyakit boleh meningkat kembali. 

Sayangi kesihatan kita!

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/VbLmW1fgOc","[{'text': 'KomunikasiKita', 'indices': [111, 126]}]",24
JapenKelantan,,"Wisma Persekutuan,Kota Bharu",387,17445,2/28/2016 9:21,12/20/2020 1:48,32,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 https://t.co/1mUFNW7O4K","[{'text': 'KomunikasiKita', 'indices': [62, 77]}, {'text': 'VaksinCOVID19', 'indices': [78, 92]}]",1092
JapenKelantan,,"Wisma Persekutuan,Kota Bharu",387,17445,2/28/2016 9:21,12/20/2020 1:47,38,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/2f18p5aqmJ","[{'text': 'KomunikasiKita', 'indices': [65, 80]}, {'text': 'VaksinCOVID19', 'indices': [81, 95]}, {'text': 'JabatanPenerangan', 'indices': [97, 115]}]",1092
tokwan_jeli,Tokwan Jeli,,2038,31260,12/14/2018 10:20,12/20/2020 1:39,38,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/2f18p5aqmJ","[{'text': 'KomunikasiKita', 'indices': [65, 80]}, {'text': 'VaksinCOVID19', 'indices': [81, 95]}, {'text': 'JabatanPenerangan', 'indices': [97, 115]}]",356
Kejora2015,,,293,17685,10/28/2014 1:57,12/20/2020 1:39,55,"COVID-19 boleh dicegah menggunakan vaksin. 

Beginilah cara vaksin berfungsi dalam badan kita!

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/wlLG5ERx2o","[{'text': 'KomunikasiKita', 'indices': [113, 128]}]",274
JapenSPU2019,,,46,2163,4/15/2019 3:54,12/20/2020 1:37,32,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 https://t.co/1mUFNW7O4K","[{'text': 'KomunikasiKita', 'indices': [62, 77]}, {'text': 'VaksinCOVID19', 'indices': [78, 92]}]",26
PMRDaerahJeli,,,694,29401,12/18/2016 2:05,12/20/2020 1:37,38,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/2f18p5aqmJ","[{'text': 'KomunikasiKita', 'indices': [65, 80]}, {'text': 'VaksinCOVID19', 'indices': [81, 95]}, {'text': 'JabatanPenerangan', 'indices': [97, 115]}]",458
NandaFaturrahm3,Be My Self,"Kota Yogyakarta, Yogyakarta",79,2100,8/20/2020 3:29,12/20/2020 1:26,0,"5 Kelompok Prioritas Penerima Vaksin Covid-19.
#VaksinUntukKita https://t.co/APg3XGrA7K","[{'text': 'VaksinUntukKita', 'indices': [47, 63]}]",158
NandaFaturrahm3,Be My Self,"Kota Yogyakarta, Yogyakarta",79,2100,8/20/2020 3:29,12/20/2020 1:26,0,"Vaksin untuk memicu kekebalan Tubuh.
#VaksinUntukKita https://t.co/6L7CqwivI2","[{'text': 'VaksinUntukKita', 'indices': [37, 53]}]",158
NandaFaturrahm3,Be My Self,"Kota Yogyakarta, Yogyakarta",79,2100,8/20/2020 3:29,12/20/2020 1:26,0,"Jangan takut ya.
#VaksinUntukKita https://t.co/Mjy75OrwUT","[{'text': 'VaksinUntukKita', 'indices': [17, 33]}]",158
NandaFaturrahm3,Be My Self,"Kota Yogyakarta, Yogyakarta",79,2100,8/20/2020 3:29,12/20/2020 1:26,0,"Ternyata ini jawabannya, Terimakasih dok.
#VaksinUntukKita https://t.co/uLQUcEiEmw","[{'text': 'VaksinUntukKita', 'indices': [42, 58]}]",158
NandaFaturrahm3,Be My Self,"Kota Yogyakarta, Yogyakarta",79,2100,8/20/2020 3:29,12/20/2020 1:26,0,"Setelah menerima masukkan dari masyarakat, Presiden Jokowi siap pertama kali divaksin.
#VaksinUntukKita https://t.co/Pfl82K5UtV","[{'text': 'VaksinUntukKita', 'indices': [87, 103]}]",158
roslanramli93,tenang dan terus tenang...,"Selangor, Malaysia",144,1508,11/21/2020 12:25,12/20/2020 1:19,32,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 https://t.co/1mUFNW7O4K","[{'text': 'KomunikasiKita', 'indices': [62, 77]}, {'text': 'VaksinCOVID19', 'indices': [78, 92]}]",15
JapenLms,"Pejabat Penerangan Daerah Larut Matang dan Selama
Tingkat 4, Wisma Persekutuan Taiping,
Jalan Istana Larut,
34000 Taiping,
Perak Darul Ridzuan.",Taiping,173,27266,4/7/2020 11:55,12/20/2020 1:17,38,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/2f18p5aqmJ","[{'text': 'KomunikasiKita', 'indices': [65, 80]}, {'text': 'VaksinCOVID19', 'indices': [81, 95]}, {'text': 'JabatanPenerangan', 'indices': [97, 115]}]",130
JapenLms,"Pejabat Penerangan Daerah Larut Matang dan Selama
Tingkat 4, Wisma Persekutuan Taiping,
Jalan Istana Larut,
34000 Taiping,
Perak Darul Ridzuan.",Taiping,173,27266,4/7/2020 11:55,12/20/2020 1:16,32,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 https://t.co/1mUFNW7O4K","[{'text': 'KomunikasiKita', 'indices': [62, 77]}, {'text': 'VaksinCOVID19', 'indices': [78, 92]}]",130
mirifm_official,MIRIfm (RTM Miri) salah sebuah Radio Stesen di utara Negeri Sarawak milik Radio Televisyen Malaysia (RTM).,"Miri, Sarawak",195,10750,3/23/2019 7:54,12/20/2020 1:12,38,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/2f18p5aqmJ","[{'text': 'KomunikasiKita', 'indices': [65, 80]}, {'text': 'VaksinCOVID19', 'indices': [81, 95]}, {'text': 'JabatanPenerangan', 'indices': [97, 115]}]",101
JapenBBaharu,PUSAT MAKLUMAT RAKYAT JABATAN PENERANGAN MALAYSIA PEJABAT PENERANGAN DAERAH BANDAR BAHARU (TEPAT DAN BERINFORMASI),"Bandar Baharu, Kedah",151,313,12/3/2020 7:06,12/20/2020 1:12,32,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 https://t.co/1mUFNW7O4K","[{'text': 'KomunikasiKita', 'indices': [62, 77]}, {'text': 'VaksinCOVID19', 'indices': [78, 92]}]",29
JapenTerengganu,"Twitter rasmi Jabatan Penerangan Malaysia Negeri Terengganu
Jom follow kami untuk mendapatkan maklumat semasa mengenai dasar kerajaan.","Kuala Terengganu, Terengganu",1356,31097,5/13/2012 4:30,12/20/2020 1:09,38,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/2f18p5aqmJ","[{'text': 'KomunikasiKita', 'indices': [65, 80]}, {'text': 'VaksinCOVID19', 'indices': [81, 95]}, {'text': 'JabatanPenerangan', 'indices': [97, 115]}]",2330
kkmm_gov,,"Kompleks KKMM, Putrajaya",278,13281,3/31/2011 2:39,12/20/2020 1:05,32,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 https://t.co/1mUFNW7O4K","[{'text': 'KomunikasiKita', 'indices': [48, 63]}, {'text': 'VaksinCOVID19', 'indices': [64, 78]}]",110588
RakyatMerdeka99,Official Twitter of Rakyat Merdeka | The Political Newsleader | Web: https://t.co/0ulMBMELYr| FB: Rakyat Merdeka | IG @rakyatmerdeka1999 | https://t.co/wLwCDX4qmy,"Graha Pena, Kebayoran Lama 12",201,35676,3/22/2016 13:54,12/20/2020 1:04,3,"Top News Koran Rakyat Merdeka

Vaksinasi Menyangkut Hidup Mati Orang Banyak 
Muhadjir Jamin BPOM Nggak Bakal Main-main

@kemenkopmk @muhadjir_ef #vaksin #BPOM #Corona #coronavirus #COVID19 #COVIDー19 #COVID__19 #Covid_19 #COVID #RakyatMerdeka #RMCoid 

https://t.co/wBoDwwqghE","[{'text': 'vaksin', 'indices': [145, 152]}, {'text': 'BPOM', 'indices': [153, 158]}, {'text': 'Corona', 'indices': [159, 166]}, {'text': 'coronavirus', 'indices': [167, 179]}, {'text': 'COVID19', 'indices': [180, 188]}, {'text': 'COVIDー19', 'indices': [189, 198]}, {'text': 'COVID__19', 'indices': [199, 209]}, {'text': 'Covid_19', 'indices': [210, 219]}, {'text': 'COVID', 'indices': [220, 226]}, {'text': 'RakyatMerdeka', 'indices': [227, 241]}, {'text': 'RMCoid', 'indices': [242, 249]}]",1566
parlianmd,dunia=permainan | hidup=bermanfaat | silahkan buang sampah pada tempatnya | lagi belajar hidup manut Allah SWT,Indonesia,270,44953,6/27/2011 13:02,12/20/2020 0:54,0,"Jika 5 dari 10 perkataannya bohong, orang masih mikir-mikir ame sikapnye.

Jika 10 dari 10 perkataannya bohong, lu pade ape masih percaya ame yang die lakuin?

#VaksinUntukKita","[{'text': 'VaksinUntukKita', 'indices': [160, 176]}]",5383
pmrnabawan,Pusat Maklumat Rakyat Nabawan Sabah,"Nabawan, Sabah",185,112206,2/18/2019 4:36,12/20/2020 0:50,38,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/2f18p5aqmJ","[{'text': 'KomunikasiKita', 'indices': [65, 80]}, {'text': 'VaksinCOVID19', 'indices': [81, 95]}, {'text': 'JabatanPenerangan', 'indices': [97, 115]}]",183
Rianhidayat_77,Hidup Saja,"DKI Jakarta, Indonesia",516,1296,1/1/2013 10:49,12/20/2020 0:47,0,"Presiden Joko Widodo Bersedia Menjadi Orang Pertama disuntik Vaksin Covid-19
#VaksinUntukKita https://t.co/roQhjAY2y7","[{'text': 'VaksinUntukKita', 'indices': [77, 93]}]",348
zakikep,kuyzzzzzz,"Bandung Wetan, Indonesia",632,1289,2/20/2012 8:41,12/20/2020 0:45,0,"Presiden Joko Widodo Bersedia Menjadi Orang Pertama disuntik Vaksin Covid-19
#COVID19 
#VaksinUntukKita 
#Vaksin https://t.co/2firQ6pZJf","[{'text': 'COVID19', 'indices': [77, 85]}, {'text': 'VaksinUntukKita', 'indices': [87, 103]}, {'text': 'Vaksin', 'indices': [105, 112]}]",316
