username,tweetcreatedts,text,tweet_clean,tweet_english
triwin_arso,12/20/2013 14:53,"Kalau karena #Corona merasa tidak takut?

Mengapa harus takut #Vaksin 

Padahal #vaksincorona adalah ikhtiar mengahadapi #Covid_19 

#VaksinUntukNegeri 
#vaksinuntukkita",Kalau karena #Corona merasa tidak takut? Mengapa harus takut #Vaksin Padahal #vaksincorona adalah ikhtiar mengahadapi #Covid_19 #VaksinUntukNegeri #vaksinuntukkita,If because #Corona is not afraid? Why should you be afraid of #Vaccines? Even though #vaksincorona is an effort to deal with # Covid_19 #VaksinUntukNegeri #vaksinuntukkita 
YRosman,5/7/2012 7:17,"COVID-19 boleh dicegah menggunakan vaksin. 

Beginilah cara vaksin berfungsi dalam badan kita!

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/wlLG5ERx2o",COVID-19 boleh dicegah menggunakan vaksin. Beginilah cara vaksin berfungsi dalam badan kita! #KomunikasiKita #VaksinCOVID19 #JabatanPenerangan,COVID-19 can be prevented using the vaccine. This is how the vaccine works in our body! #KomunikasiKita # VaksinCOVID19 #JabatanPenerangan 
YRosman,5/7/2012 7:17,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/2f18p5aqmJ",Lindungi orang yang kita sayang dengan vaksin. #KomunikasiKita #VaksinCOVID19 #JabatanPenerangan,Protect our loved ones with the vaccine. #KomunikasiKita # VaksinCOVID19 #JabatanPenerangan 
Poksai,6/2/2009 1:01,"ini anak siapa sih.

justru di saudi, mentri kesehatannya yg pertama kali di vaksin.

#Aagym #VaksinCOVID19 https://t.co/IUoeAnkJgo https://t.co/XW5vCVr1TU","ini anak siapa sih. justru di saudi, mentri kesehatannya yg pertama kali di vaksin. #Aagym #VaksinCOVID19","whose child is this? In fact in Saudi, the minister of health was the first to be vaccinated. #Aagym # VaksinCOVID19 "
Hajiaput,7/20/2013 16:03,"Aku ini gk pro siapa siapa loh ya. Cuman mau nanya doang. 
Kalo nya ini tuh salah,lalu yg benar kek gimana ?
Aku sih orangnya perlu melihat dari segala arah dulu baru bisa menyimpulkan sesuatu. Emng bdh bgt aku 😭

#VaksinUntukNegeri 
#Vaksin https://t.co/mU9Up0UQ75","Aku ini gk pro siapa siapa loh ya. Cuman mau nanya doang. Kalo nya ini tuh salah,lalu yg benar kek gimana ? Aku sih orangnya perlu melihat dari segala arah dulu baru bisa menyimpulkan sesuatu. Emng bdh bgt aku #VaksinUntukNegeri #Vaksin","Who am I not pro? I just want to ask. If this is wrong, then what about the right one? I still need to see people from all directions first before I can conclude something. I really do #VaksinUntukNegeri #Vaccine "
mwpattikawa,12/1/2011 8:56,"BPOM Pastikan Keamanan dan Efektivitas Vaksin
https://t.co/SDEfXXUQYS

#bpom #vaksin #vaksìncovid19 #berita #news #pustakalewi @ Surabaya, Indonesia https://t.co/EOENc9mKvR","BPOM Pastikan Keamanan dan Efektivitas Vaksin #bpom #vaksin #vaksncovid19 #berita #news #pustakalewi @ Surabaya, Indonesia","BPOM Ensures Safety and Effectiveness of Vaccines #bpom #vaksin # vaksncovid19 #berita #news #pustakalewi @ Surabaya, Indonesia "
Hajiaput,7/20/2013 16:03,"Aku ini gk pro siapa siapa loh ya. Cuman mau nanya doang. 
Kalo nya ini tuh salah,lalu yg benar kek gimana ?
Aku sih orangnya perlu melihat dari segala arah dulu baru bisa menyimpulkan sesuatu. Emng bdh bgt aku 😭

#VaksinUntukNegeri 
#Vaksin https://t.co/3IstDjGKD9","Aku ini gk pro siapa siapa loh ya. Cuman mau nanya doang. Kalo nya ini tuh salah,lalu yg benar kek gimana ? Aku sih orangnya perlu melihat dari segala arah dulu baru bisa menyimpulkan sesuatu. Emng bdh bgt aku #VaksinUntukNegeri #Vaksin","Who am I not pro? I just want to ask. If this is wrong, then what about the right one? I still need to see people from all directions first before I can conclude something. I really do #VaksinUntukNegeri #Vaccine "
dabenone2,1/22/2020 10:41,"Ramai soal Vaksinasi, Apa Saja sih Sebetulnya Kandungan Vaksin Covid-19 itu?

https://t.co/JYMPlihz77

#vaksin #vaksinasi #indonesia #vaksinitubaik #lawancorona #lawancovid19 #ingatpesanibu #3m #corona #covid19 #animasi #tips","Ramai soal Vaksinasi, Apa Saja sih Sebetulnya Kandungan Vaksin Covid-19 itu? #vaksin #vaksinasi #indonesia #vaksinitubaik #lawancorona #lawancovid19 #ingatpesanibu #3m #corona #covid19 #animasi #tips","Crowded about vaccinations, what exactly is the content of the Covid-19 vaccine? #vaksin #vaccination #indonesia #vaksinitubaik #linterorona # lawancovid19 # recallpesanibu # 3m #corona # covid19 #animation #tips "
harismz,5/9/2010 8:19,"ini anak siapa sih.

justru di saudi, mentri kesehatannya yg pertama kali di vaksin.

#Aagym #VaksinCOVID19 https://t.co/IUoeAnkJgo https://t.co/XW5vCVr1TU","ini anak siapa sih. justru di saudi, mentri kesehatannya yg pertama kali di vaksin. #Aagym #VaksinCOVID19","whose child is this? In fact in Saudi, the minister of health was the first to be vaccinated. #Aagym # VaksinCOVID19 "
pikiran_rakyat,7/21/2009 18:48,"Ramai soal Vaksinasi, Apa Saja sih Sebetulnya Kandungan Vaksin Covid-19 itu?

https://t.co/JYMPlihz77

#vaksin #vaksinasi #indonesia #vaksinitubaik #lawancorona #lawancovid19 #ingatpesanibu #3m #corona #covid19 #animasi #tips","Ramai soal Vaksinasi, Apa Saja sih Sebetulnya Kandungan Vaksin Covid-19 itu? #vaksin #vaksinasi #indonesia #vaksinitubaik #lawancorona #lawancovid19 #ingatpesanibu #3m #corona #covid19 #animasi #tips","Crowded about vaccinations, what exactly is the content of the Covid-19 vaccine? #vaksin #vaccination #indonesia #vaksinitubaik #linterorona # lawancovid19 # recallpesanibu # 3m #corona # covid19 #animation #tips "
syahpewaris,7/24/2015 1:25,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/2f18p5aqmJ",Lindungi orang yang kita sayang dengan vaksin. #KomunikasiKita #VaksinCOVID19 #JabatanPenerangan,Protect our loved ones with the vaccine. #KomunikasiKita # VaksinCOVID19 #JabatanPenerangan 
PMR_Ranau,2/13/2020 6:54,"Lindungi orang yang kita sayang dengan vaksin.

#JaPenSabah 
#KomunikasiKita
#VaksinCovid19 
#JabatanPenerangan https://t.co/SBU1Xzfw69",Lindungi orang yang kita sayang dengan vaksin. #JaPenSabah #KomunikasiKita #VaksinCovid19 #JabatanPenerangan,Protect our loved ones with the vaccine. #JaPenSabah #KomunikasiKita # VaksinCovid19 #JabatanPenerangan 
TrioMacari2000,2/21/2013 15:28,"Mantan Wakil Ketua DPR Fahri Hamzah menyampaikan usul terkait pihak yang pertama kali divaksin. Dia menuliskannya lewat akun Twitternya, @Fahrihamzah, Minggu, 20 Desember 2020. Selengkapnya di https://t.co/wzujd6GSdH
-
#vaksincovid19 #sinovac #presidenjokowi #fahrihamzah https://t.co/rNLx3XnpXx","Mantan Wakil Ketua DPR Fahri Hamzah menyampaikan usul terkait pihak yang pertama kali divaksin. Dia menuliskannya lewat akun Twitternya, @Fahrihamzah, Minggu, 20 Desember 2020. Selengkapnya di - #vaksincovid19 #sinovac #presidenjokowi #fahrihamzah","Former Deputy Speaker of the DPR Fahri Hamzah made a proposal regarding the party that was first vaccinated. He wrote it on his Twitter account, @Fahrihamzah, Sunday, December 20, 2020. More details on - # vaccinescovid19 #sinovac #presidenjokowi #fahrihamzah "
adipurwa74,6/21/2012 14:01,"Kalau karena #Corona merasa tidak takut?

Mengapa harus takut #Vaksin 

Padahal #vaksincorona adalah ikhtiar mengahadapi #Covid_19 

#VaksinUntukNegeri 
#vaksinuntukkita",Kalau karena #Corona merasa tidak takut? Mengapa harus takut #Vaksin Padahal #vaksincorona adalah ikhtiar mengahadapi #Covid_19 #VaksinUntukNegeri #vaksinuntukkita,If because #Corona is not afraid? Why should you be afraid of #Vaccines? Even though #vaksincorona is an effort to deal with # Covid_19 #VaksinUntukNegeri #vaksinuntukkita 
beritakitacoid,6/8/2020 14:17,"Vaksinasi Covid Jadi 'Spirit' Kebangkitan Ekonomi Lamsel
https://t.co/xbT8QUAZ2d

#beritakitacoid #sobatkita #Lampung #Lampungselatan #Lamsel #VaksinCOVID19 #Vaksin #vaksinuntukkita #VaksinUntukNegeri #vaksingratisutkrakyat #vaksindatangtetapjaga3m #Covid_19 #EkonomiIndonesia https://t.co/2JtQW6rIc1",Vaksinasi Covid Jadi 'Spirit' Kebangkitan Ekonomi Lamsel #beritakitacoid #sobatkita #Lampung #Lampungselatan #Lamsel #VaksinCOVID19 #Vaksin #vaksinuntukkita #VaksinUntukNegeri #vaksingratisutkrakyat #vaksindatangtetapjaga3m #Covid_19 #EkonomiIndonesia,Covid Vaccination Becomes the 'Spirit' of Lamsel Economic Awakening #beritakitacoid #sobatkita #Lampung #Lampungselatan #Lamsel # VaksinCOVID19 #Vaksin #vaksinuntukkita #VaksinUntukNegeri #vaksingratisutkrakyat # vaccinindatangtetapjaga3m # Covid_19 #Ekonomi 
dumbleadoreyou,12/20/2013 3:34,"Lihat berita hari ini dari CNN Indonesia, Amerika Serikat berencana akan melakukan vaksinasi di minggu ke dua. Kita sama-sama doain semoga lancar ya prosesnya. 
#VaksinUntukKita https://t.co/EoxKydBKaN","Lihat berita hari ini dari CNN Indonesia, Amerika Serikat berencana akan melakukan vaksinasi di minggu ke dua. Kita sama-sama doain semoga lancar ya prosesnya. #VaksinUntukKita","See today's news from CNN Indonesia, the United States plans to vaccinate in the second week. We both pray that the process will run smoothly. #VaccinesFor Us "
widya_analytic,12/5/2019 22:51,"Kalau menurut kamu, apakah vaksin merupakan solusi paling tepat untuk wabah covid-19 di Indonesia?
.
#vaksin #sinovac #tobaai #widyaanalytic #covid19 #pandemi #indonesia #dataanalytic #data #bigdata https://t.co/9lqjfiqhJR","Kalau menurut kamu, apakah vaksin merupakan solusi paling tepat untuk wabah covid-19 di Indonesia? . #vaksin #sinovac #tobaai #widyaanalytic #covid19 #pandemi #indonesia #dataanalytic #data #bigdata","In your opinion, is a vaccine the most appropriate solution for the Covid-19 outbreak in Indonesia? . #vaksin #sinovac #tobaai #widyaanalytic # covid19 #pandemi #indonesia #dataalytic #data #bigdata "
Boel22834820,10/13/2020 4:50,"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.

#vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua

Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan. #vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak.,The health of the Indonesian people must certainly include from Sabang to Merauke. Vaccines as an element too. Nutrition is the same. It needs to be strengthened. #vaksinuntukkita #vaksinuntuksuansa #sehatuntuksAll Note: The mask is opened first so you can talk to fellow residents While keeping your distance. 
hcahyono,5/30/2009 17:46,"Kalau karena #Corona merasa tidak takut?

Mengapa harus takut #Vaksin 

Padahal #vaksincorona adalah ikhtiar mengahadapi #Covid_19 

#VaksinUntukNegeri 
#vaksinuntukkita",Kalau karena #Corona merasa tidak takut? Mengapa harus takut #Vaksin Padahal #vaksincorona adalah ikhtiar mengahadapi #Covid_19 #VaksinUntukNegeri #vaksinuntukkita,If because #Corona is not afraid? Why should you be afraid of #Vaccines? Even though #vaksincorona is an effort to deal with # Covid_19 #VaksinUntukNegeri #vaksinuntukkita 
MisbahWiyono,12/16/2013 2:37,"Kalau karena #Corona merasa tidak takut?

Mengapa harus takut #Vaksin 

Padahal #vaksincorona adalah ikhtiar mengahadapi #Covid_19 

#VaksinUntukNegeri 
#vaksinuntukkita",Kalau karena #Corona merasa tidak takut? Mengapa harus takut #Vaksin Padahal #vaksincorona adalah ikhtiar mengahadapi #Covid_19 #VaksinUntukNegeri #vaksinuntukkita,If because #Corona is not afraid? Why should you be afraid of #Vaccines? Even though #vaksincorona is an effort to deal with # Covid_19 #VaksinUntukNegeri #vaksinuntukkita 
BalingPmr,5/20/2019 3:02,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 https://t.co/1mUFNW7O4K",Lindungi orang yang kita sayang dengan vaksin. #KomunikasiKita #VaksinCOVID19,Protect our loved ones with vaccines. #Our Communications # VaksinCOVID19 
utamanewscom,1/10/2013 10:35,"Ketegasan Presiden #Jokowi terhadap polemik tersebut merupakan upaya negara dalam mengakomodasi aspirasi masyarakat, termasuk dalam mengadakan #vaksin #gratis

https://t.co/56GB2LdIq5","Ketegasan Presiden #Jokowi terhadap polemik tersebut merupakan upaya negara dalam mengakomodasi aspirasi masyarakat, termasuk dalam mengadakan #vaksin #gratis","President #Jokowi's assertiveness against the polemic is the state's effort to accommodate the aspirations of the community, including in holding # free # vaccines. "
BalingPmr,5/20/2019 3:02,"Lindungi orang yang kita sayang dengan vaksin.

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/2f18p5aqmJ",Lindungi orang yang kita sayang dengan vaksin. #KomunikasiKita #VaksinCOVID19 #JabatanPenerangan,Protect our loved ones with the vaccine. #KomunikasiKita # VaksinCOVID19 #JabatanPenerangan 
ockyjhon,1/12/2020 3:30,"Malam Perseners!

Kita baru nge-up video tentang vaksin Covid-19 nih collab bareng @VaksinUntukKita 
Langsung nonton aja yuk! Tinggal klik link di bawah ini :)
https://t.co/BrWjU65xGX

#Covid_19 #vaksinuntukkita #VaksinUntukNegeri #VaksinCOVID19 https://t.co/eteT4DrkLN",Malam Perseners! Kita baru nge-up video tentang vaksin Covid-19 nih collab bareng @VaksinUntukKita Langsung nonton aja yuk! Tinggal klik link di bawah ini :) #Covid_19 #vaksinuntukkita #VaksinUntukNegeri #VaksinCOVID19,"Perseners Night! We just uploaded a video about the Covid-19 vaccine, collab with @VaksinUntukita Let's just watch it! Just click the link below :) # Covid_19 #vaksinuntukkita #VaksinUntukNegeri # VaksinCOVID19 "
fay_erha,8/1/2012 12:57,"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.

#vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua

Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan. #vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak.,The health of the Indonesian people must certainly include from Sabang to Merauke. Vaccines as an element too. Nutrition is the same. It needs to be strengthened. #vaksinuntukkita #vaksinuntuksuansa #sehatuntuksAll Note: The mask is opened first so you can talk to fellow residents While keeping your distance. 
anagustini,4/22/2009 2:36,"Minggu ini ada berita yang kita tunggu-tunggu nih! Apa aja ya kira-kira? Selengkapnya di Berita Baru Vaksin ya!

#VaksinUntukKita https://t.co/j9kCoNTniP",Minggu ini ada berita yang kita tunggu-tunggu nih! Apa aja ya kira-kira? Selengkapnya di Berita Baru Vaksin ya! #VaksinUntukKita,This week there is news that we have been waiting for! What do you think? Read more in the Vaccine News! #VaccinesFor Us 
satupersen_id,2/18/2019 23:18,"Malam Perseners!

Kita baru nge-up video tentang vaksin Covid-19 nih collab bareng @VaksinUntukKita 
Langsung nonton aja yuk! Tinggal klik link di bawah ini :)
https://t.co/BrWjU65xGX

#Covid_19 #vaksinuntukkita #VaksinUntukNegeri #VaksinCOVID19 https://t.co/eteT4DrkLN",Malam Perseners! Kita baru nge-up video tentang vaksin Covid-19 nih collab bareng @VaksinUntukKita Langsung nonton aja yuk! Tinggal klik link di bawah ini :) #Covid_19 #vaksinuntukkita #VaksinUntukNegeri #VaksinCOVID19,"Perseners Night! We just uploaded a video about the Covid-19 vaccine, collab with @VaksinUntukita Let's just watch it! Just click the link below :) # Covid_19 #vaksinuntukkita #VaksinUntukNegeri # VaksinCOVID19 "
LeeNyukLan1,2/6/2020 3:08,"@JPenerangan RT @JPenerangan: COVID-19 boleh dicegah menggunakan vaksin. 

Beginilah cara vaksin berfungsi dalam badan kita!

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan
#sodiakroks  https://t.co/Tpd4nF29nq",@JPenerangan RT @JPenerangan: COVID-19 boleh dicegah menggunakan vaksin. Beginilah cara vaksin berfungsi dalam badan kita! #KomunikasiKita #VaksinCOVID19 #JabatanPenerangan #sodiakroks,@JDescription RT @JDescription: COVID-19 can be prevented using vaccines. This is how the vaccine works in our body! #KomunikasiKita # VaksinCOVID19 #JabatanPenerangan #sodiakroks 
LeeNyukLan1,2/6/2020 3:08,"COVID-19 boleh dicegah menggunakan vaksin. 

Beginilah cara vaksin berfungsi dalam badan kita!

#KomunikasiKita
#VaksinCOVID19 
#JabatanPenerangan https://t.co/wlLG5ERx2o",COVID-19 boleh dicegah menggunakan vaksin. Beginilah cara vaksin berfungsi dalam badan kita! #KomunikasiKita #VaksinCOVID19 #JabatanPenerangan,COVID-19 can be prevented using the vaccine. This is how the vaccine works in our body! #KomunikasiKita # VaksinCOVID19 #JabatanPenerangan 
nanymulyanie,4/10/2013 12:52,"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.

#vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua

Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan. #vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak.,The health of the Indonesian people must certainly include from Sabang to Merauke. Vaccines as an element too. Nutrition is the same. It needs to be strengthened. #vaksinuntukkita #vaksinuntuksuansa #sehatuntuksAll Note: The mask is opened first so you can talk to fellow residents While keeping your distance. 
Mela_Triksi,5/25/2020 20:05,"Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan.

#vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua

Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak. https://t.co/jixW5k28Qm",Sehatnya rakyat Indonesia tentu harus mencakup dari Sabang sampai Merauke. Vaksin sebagai satu elemen pun begitu. Gizi pun sama. Perlu dikuatkan. #vaksinuntukkita #vaksinuntuksemua #sehatuntuksemua Catatan : Masker dibuka dulu agar bisa bercakap sesama warga. Sambil jaga jarak.,The health of the Indonesian people must certainly include from Sabang to Merauke. Vaccines as an element too. Nutrition is the same. It needs to be strengthened. #vaksinuntukkita #vaksinuntuksuansa #sehatuntuksAll Note: The mask is opened first so you can talk to fellow residents While keeping your distance. 
lanykh_,7/4/2018 11:42,"Kalian pasti semenjak pandemi jadi sering mendengar kata-kata herd immunity gaksiii? Nah vaksinasi sendiri merupakan cara paling aman untuk mendapatkan kekebalan banyak orang sekaligus. 
#VaksinUntukKita https://t.co/c5qLg83KiV",Kalian pasti semenjak pandemi jadi sering mendengar kata-kata herd immunity gaksiii? Nah vaksinasi sendiri merupakan cara paling aman untuk mendapatkan kekebalan banyak orang sekaligus. #VaksinUntukKita,"Since the pandemic, you must have heard the words herd immunity gaksiii? So vaccination itself is the safest way to get immunity for many people at once. #VaccinesFor Us "
toranaga3000,8/22/2014 9:09,"Mantan Wakil Ketua DPR Fahri Hamzah menyampaikan usul terkait pihak yang pertama kali divaksin. Dia menuliskannya lewat akun Twitternya, @Fahrihamzah, Minggu, 20 Desember 2020. Selengkapnya di https://t.co/wzujd6GSdH
-
#vaksincovid19 #sinovac #presidenjokowi #fahrihamzah https://t.co/rNLx3XnpXx","Mantan Wakil Ketua DPR Fahri Hamzah menyampaikan usul terkait pihak yang pertama kali divaksin. Dia menuliskannya lewat akun Twitternya, @Fahrihamzah, Minggu, 20 Desember 2020. Selengkapnya di - #vaksincovid19 #sinovac #presidenjokowi #fahrihamzah","Former Deputy Speaker of the DPR Fahri Hamzah made a proposal regarding the party that was first vaccinated. He wrote it on his Twitter account, @Fahrihamzah, Sunday, December 20, 2020. More details on - # vaccinescovid19 #sinovac #presidenjokowi #fahrihamzah "
progresaid,7/27/2020 15:13,"Sekarang, ke catatan inti. 

Rabu lalu, Presiden Jokowi mengumumkan bahwa #VaksinCOVID19 akan diberikan secara gratis kepada masyarakat Indonesia. 

https://t.co/FuaLL2vmOd","Sekarang, ke catatan inti. Rabu lalu, Presiden Jokowi mengumumkan bahwa #VaksinCOVID19 akan diberikan secara gratis kepada masyarakat Indonesia.","Now, on to the core note. Last Wednesday, President Jokowi announced that # VaksinCOVID19 would be provided free of charge to Indonesians. "
